TIME,Isopentane,Hexane,2-Methylhexane,3-Methylhexane,2-Methylheptane,3-Methylheptane,Propene,1.3-Butadiene,Isoprene,1-Octene,Benzene,Toluene,Ethylbenzene,m.p-Xylene,o-Xylene,Iso-Propylbenzene,Styrene,n-Propylbenzene,"3,4-Ethyltoluene",1.3.5-TMB,2-Ethyltoluene,1.2.4-TMB,1.2.3-TMB,Acetaldehyde,Ethanol,Acetone,IPA,Ethyl Acetate,Butyl Acetate,VCM,TCE,PCE,1.4-DCB,1.2-DCB
2022/6/23 00:00,2.14,,0.56,0.27,,,9.45,,,,0.31,7.45,0.11,0.26,0.1,,0.12,0.1,,,0.17,0.39,,3.2,0.6,1.76,0.54,2.36,,,,,0.77,0.53
2022/6/23 01:00,2.13,,0.49,0.21,,,45.46,,,,0.19,6.96,0.11,0.32,0.11,,,,,,0.1,0.26,,2.85,0.51,0.66,,2.5,,,,,0.63,0.43
2022/6/23 02:00,1.56,,0.51,0.27,,,44.9,,0.25,,0.27,9.6,0.12,0.34,,,,,,,,0.1,,3.07,2.48,0.67,,1.82,,,,,0.18,
2022/6/23 03:00,1.67,,0.18,0.18,,,50.68,,0.31,,0.25,4.55,,0.19,,,,,,,,,,3.14,3.71,0.65,,0.99,,,,,,
2022/6/23 04:00,0.85,,0.28,0.19,,,51,,,,0.13,3.47,,0.17,,,,,,,,,,3.44,5.28,,,0.71,,,,,,
2022/6/23 05:00,0.74,,0.21,0.13,,,58.3,,,,0.15,5.98,,0.14,,,,,,,,0.22,,2.97,0.73,,0.54,0.97,,,,,0.35,0.16
2022/6/23 06:00,0.59,,0.23,0.12,,,53.61,,,,0.21,3.12,0.15,0.46,0.22,,,,,,,,,3.88,6.74,,,0.77,,,,,,
2022/6/23 07:00,,,0.73,0.22,,,54.39,,0.23,,0.44,5.08,0.13,0.33,0.16,,,,,,,,,5.47,12.63,,,4.31,,,,,,
2022/6/23 08:00,,,0.48,0.26,,,53.46,,0.18,,0.35,4.16,,0.19,,,,,,,,,,5.27,2.62,,,0.27,,,,,,
2022/6/23 09:00,0.49,,0.17,0.14,,,51.48,,,,0.33,4.13,,,,,,,,,,,,6.01,0.76,,,0.19,,,,,,
2022/6/23 10:00,,,0.3,0.18,,,50.25,,,,0.27,6.56,,0.23,0.13,,,,,,,,,5.12,1.97,,,0.77,,,,,,
2022/6/23 11:00,,,0.2,0.27,,,54.1,,,,0.46,6.46,0.12,0.29,0.18,,,,,,,,,4.32,0.89,,,0.28,,,,0.16,,
2022/6/23 12:00,1.25,,,0.15,,,53.07,,,,0.45,2.03,,0.16,,,,,,,,,,3.23,0.42,,,,,,,,,
2022/6/23 13:00,2.02,,0.1,0.13,,,52.49,,,,0.28,5.71,,0.16,,,,,,,,,,3.69,0.33,,,,,,,,,
2022/6/23 14:00,1.28,,,0.18,,,51.84,,,,0.3,2.39,,0.18,0.1,,,,,,,,,2.44,0.49,,,,,,,,,
2022/6/23 15:00,2.71,,0.14,0.34,,,49.77,,,,0.32,3.19,,0.24,0.12,,,,,,,,,2.3,0.41,,,,0.82,,,,,
2022/6/23 16:00,1.81,,0.18,0.21,,,51.93,,,,0.29,3.74,0.1,0.32,0.11,,,,,,,,,2.57,0.36,,,,,,,,,
2022/6/23 17:00,1.85,,0.47,0.26,,0.36,52.67,,,,0.26,7.84,0.14,0.39,0.14,,,,,,,0.19,,4.5,7.07,,,1.4,,,,,,
2022/6/23 18:00,1.96,0.75,0.52,0.24,,,56.82,,0.12,,0.34,10.83,0.59,2.14,0.84,0.12,,0.16,0.35,0.12,0.18,0.86,0.11,5.18,4.18,,0.13,13.71,,,,,,
2022/6/23 19:00,1.6,,0.22,0.14,,,49.68,,,,0.16,3.17,,0.2,,,,,,,,,,3.2,1.9,,,0.68,,,,,0.25,0.13
2022/6/23 20:00,2.14,,0.46,0.27,,,50.44,,,,0.25,6.05,0.25,0.81,0.31,,,,,,0.1,0.26,0.47,3.69,3.55,,,1.39,,,,,0.38,0.23
2022/6/23 21:00,1.8,,0.48,0.29,,,51.54,,,,0.33,6.74,0.19,0.45,0.24,,,,,,0.11,0.27,,3.05,0.66,,,1.13,,,,,0.53,0.38
2022/6/23 22:00,1.64,,0.31,0.22,,,54.67,,,,0.28,5.58,0.13,0.3,0.12,,0.15,0.12,,,0.18,0.44,0.37,3.21,0.6,,0.18,1.83,,,,,0.48,0.45
