TIME,Ethane,Propane,Isobutane,n-Butane,Cyclopentane,Isopentane,n-Pentane,"2,2-Dimethylbutane","2,3-Dimethylbutane",2-Methylpentane,3-Methylpentane,n-Hexane,Methylcyclopentane,"2,4-Dimethylpentane",Cyclohexane,2-Methylhexane,"2,3-Dimethylpentane",3-Methylheptane,"2,2,4-Trimethylpentane",n-Heptane,Methylcyclohexane,"2,3,4-Trimethylpentane",2-Methylheptane,3-Methylhexane,n-Octane,n-Nonane,n-Decane,n-Undecane,Ethylene,Propylene,t-2-Butene,1-Butene,cis-2-Butene,t-2-Pentene,1-Pentene,cis-2-Pentene,isoprene,Acetylene,Benzene,Toluene,Ethylbenzene,"m,p-Xylene",Styrene,o-Xylene,Isopropylbenzene,n-Propylbenzene,m-Ethyltoluene,p-Ethyltoluene,"1,3,5-Trimethylbenzene",o-Ethyltoluene,"1,2,4-Trimethylbenzene","1,2,3-Trimethylbenzene",m-Diethylbenzene,p-Diethylbenzene
2022/4/1 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/1 01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/4/1 02:00,2.82,1.07,0.36,0.52,0.03,0.2,0.1,,,0.05,0.03,0.09,,,0.03,,,,,0.03,,,,0.03,,,0.02,0.02,0.25,0.2,0.03,0.07,,,,,,0.72,0.17,0.71,0.1,0.3,,0.09,,,0.03,0.02,,,0.05,0.02,,0.02
2022/4/1 03:00,2.78,1.18,0.31,0.47,0.02,0.2,0.09,,0.01,0.04,0.03,0.06,,,,,,,,0.05,0.03,,,,,0.02,0.04,0.03,0.25,0.17,0.03,0.08,,,,,,0.7,0.14,0.56,0.07,0.15,,0.04,,,0.02,,,,0.06,0.04,,0.01
2022/4/1 04:00,2.62,0.97,0.24,0.33,0.02,0.19,0.08,,,0.04,0.03,,,,,,,,,,,,,,,,0.02,0.02,0.16,0.14,,0.07,,,,,,0.66,0.18,0.42,0.06,0.13,,0.02,,,0.02,,,0.02,0.03,0.02,,
2022/4/1 05:00,2.68,1.01,0.23,0.32,,0.17,0.08,,,0.04,0.03,0.07,,,,,,,,,,,,0.02,,,0.02,,0.19,0.15,,0.07,,,,,,0.72,0.1,0.46,0.03,0.08,,0.04,,,0.02,,,,0.03,,,0.02
2022/4/1 06:00,2.83,1.09,0.28,0.37,,0.24,0.1,,0.02,0.06,0.04,0.06,0.04,,,,,,,0.05,,,,0.04,,0.01,0.01,,0.58,0.24,0.04,0.08,0.03,0.02,,,,1.09,0.17,0.44,0.04,0.2,,0.07,,,0.04,0.01,,,0.06,,,
2022/4/1 07:00,3.11,1.13,0.32,0.43,0.04,0.29,0.12,0.02,0.03,0.08,0.05,0.07,0.04,,,0.06,,,0.08,0.05,,0.03,,0.11,0.03,0.02,0.02,0.01,1.04,0.4,0.04,0.1,,0.02,,,,1.41,0.25,0.58,0.06,0.24,,0.09,0.01,,0.04,,,0.03,0.08,0.05,,0.02
2022/4/1 08:00,2.88,1.01,0.34,0.44,0.03,0.35,0.14,,0.04,0.1,0.07,0.13,0.09,,,0.06,,,0.07,0.07,0.04,0.04,,0.11,0.03,0.01,,0.02,0.93,0.42,0.06,0.11,0.03,0.03,,,0.03,1.34,0.24,0.82,0.11,0.28,,0.1,,,0.05,0.02,0.03,0.03,0.11,0.04,,0.02
2022/4/1 09:00,3,1.3,0.34,0.45,0.06,0.32,0.13,0.02,0.04,0.13,0.1,0.26,0.09,,0.05,0.14,0.05,,0.06,0.11,0.05,0.04,,0.13,,,0.02,,0.92,0.33,0.04,0.09,0.04,0.03,,,0.03,1.24,0.22,2.37,0.09,0.39,,0.14,,,0.04,,0.03,0.02,0.08,0.03,,
2022/4/1 10:00,4.79,1.42,0.38,0.49,0.07,0.32,0.12,0.02,0.04,0.14,0.11,0.27,0.11,,0.05,0.09,,,0.04,0.25,0.05,0.03,0.04,0.15,,0.03,0.03,0.01,1.52,0.34,0.04,0.09,,,,,0.06,1.36,0.19,2.66,0.15,0.46,,0.16,,,0.07,,,0.03,0.07,0.04,,
2022/4/1 11:00,2.75,1.19,0.27,0.42,0.07,0.24,0.1,,0.03,0.09,0.06,0.15,0.07,,,0.06,,0.01,0.07,0.06,,0.04,,0.1,,,,,0.96,0.3,,0.09,,0.01,,,0.05,1.28,0.34,1.31,0.06,0.17,,0.07,,,0.03,,,,0.06,0.05,,
2022/4/1 12:00,2.9,1.17,0.32,0.42,0.03,0.27,0.11,,,0.08,0.06,0.13,0.07,,,0.06,,,0.05,0.1,,0.04,,0.07,,0.02,0.02,,0.57,0.27,0.04,0.09,,,,,0.05,1.04,0.23,1.49,0.14,0.34,,0.12,,,0.03,0.02,,,0.05,0.03,,0.03
2022/4/1 13:00,3.26,1.55,0.43,0.64,0.03,0.34,0.16,,0.05,0.11,0.07,0.1,0.07,,0.03,0.07,,,0.06,0.19,0.03,0.03,,0.11,,,0.02,0.02,0.74,0.31,0.04,0.09,0.03,,,,0.05,1.2,0.24,1.85,0.16,0.38,,0.13,,0.01,0.03,,,0.02,0.06,,,0.01
2022/4/1 14:00,3.68,1.71,0.49,0.78,0.04,0.38,0.18,0.02,0.08,0.14,0.11,0.17,0.13,,0.06,0.17,0.06,0.03,0.08,0.18,0.11,0.04,,0.19,,0.03,0.03,0.01,0.9,0.32,0.05,0.1,0.03,0.02,,,0.05,1.24,0.28,2.95,0.37,1.08,,0.35,,,0.05,,0.02,0.03,0.07,0.04,,0.02
2022/4/1 15:00,3.28,1.5,0.5,0.73,0.05,0.38,0.17,0.02,0.08,0.16,0.12,0.22,0.1,,0.05,0.23,,,0.06,0.11,0.05,0.04,,0.12,,0.03,0.04,0.02,0.81,0.31,0.05,0.1,,0.03,,,0.05,1.2,0.3,2.81,0.23,0.64,,0.22,,0.02,0.05,,0.04,0.02,0.1,0.04,,0.03
2022/4/1 16:00,3.02,1.53,0.43,0.65,0.04,0.39,0.16,0.02,0.04,0.15,0.11,0.23,0.12,,0.05,0.12,0.07,0.02,0.08,0.13,0.06,0.04,,0.14,0.03,0.03,0.03,0.02,0.94,0.36,0.05,0.1,0.04,0.04,,,0.05,1.08,0.24,3.14,0.3,0.85,,0.29,0.01,,0.05,,0.04,0.03,0.13,0.04,,0.03
